nombre,telefono,direccion,latitud,longitud,municipio,categoria
El Rincon De Felo,,"8H4M+3XV, Morovis 00687, Puerto Rico",18.3052282,-66.415091,Morovis,Jangueo
La Playita,,"7HXR+62V, State Rte 155, Morovis, 00687, Puerto Rico",18.2981143,-66.4099501,Morovis,Jangueo
Cabra Loca,,"7HMX+9VR, State Rte 155, Morovis, 00687, Puerto Rico",18.2834751,-66.4003701,Morovis,Jangueo
Encantos Restaurant & Wine Bar,,"30 Cll Principal, Morovis, 00687, Puerto Rico",18.3259159,-66.40628099999999,Morovis,Restaurantes
El Eucalipto,,"8JFC+VMH, PR-159, Morovis, 00687, Puerto Rico",18.3246967,-66.3782598,Morovis,Jangueo
Las 40s Burger,,"8JHH+64C, Morovis 00687, Puerto Rico",18.3280612,-66.3722235,Morovis,Jangueo
El Descuadre,,"State Rte 155 KM 35.6, Morovis, 00687, Puerto Rico",18.272571,-66.3954254,Morovis,Jangueo
El Flamboyán,,"173, km 2.2, Carretera Patron, Morovis, 00687, Puerto Rico",18.3333271,-66.3981211,Morovis,Jangueo
"Casa Bavaria @ Morovis, PR",,"State Rte 155, Morovis, 00687, Puerto Rico",18.2838914,-66.40095219999999,Morovis,Jangueo
El Saborengue,,"Km. 1.4, PR-618, Morovis 00687, Puerto Rico",18.3095969,-66.3979767,Morovis,Jangueo
Pirulos Bar,,"7JX5+3G9, Morovis, 00687, Puerto Rico",18.2976532,-66.39112949999999,Morovis,Jangueo
El Barrilito Bar & Rest.,,"PR-137, Morovis, 00687, Puerto Rico",18.3326482,-66.4275265,Morovis,Jangueo
The Scrap,,"8HPJ+5R7, Morovis, 00687, Puerto Rico",18.3354085,-66.4179539,Morovis,Jangueo
Asador Don Pablo,,"Carr. 155 Km. 41.9 Bo, Morovis 00687, Puerto Rico",18.2949141,-66.4089176,Morovis,Jangueo
The Little Corner 3,,"8HHC+CF, Franquez, Morovis 00687, Puerto Rico",18.3285967,-66.428743,Morovis,Jangueo
Barafranca Picadera y Cerveceria,,"PR-634, Morovis 00687, Puerto Rico",18.362814,-66.41635939999999,Morovis,Jangueo
Molcajete Morovis,,"Km. 2.2 PR-6622, Morovis, 00687, Puerto Rico",18.3228791,-66.405656,Morovis,Jangueo
Maelo Chicken Fever,,"KM. 54.3, State Rte 155, Morovis 00687, Puerto Rico",18.3531855,-66.4372814,Morovis,Jangueo
Rancho Torres Morovis Puerto Rico,,"8H3J+GX6, PR-6616, Morovis, 00687, Puerto Rico",18.303797,-66.4175997,Morovis,Jangueo
"Algo Lindo Restaurant, Bar & Grill",,"Bo, Ciales, 00638, Puerto Rico",18.3374599,-66.46493389999999,Morovis,Jangueo
Capelli Salon,,"HC-01 Box 1912, Morovis, 00687, Puerto Rico",18.3247752,-66.4083809,Morovis,Jangueo
Suly's Little Corner,,"8JGG+J3, Morovis, 00687, Puerto Rico",18.3266334,-66.37477369999999,Morovis,Jangueo
