place_id,nombre,categoria_principal,subcategoria_sugerida
ChIJ-6zlagRpA4wR9RlL3j-kR3I,LIV Fitness Guaynabo,Gimnasios,Gimnasio General
ChIJ-6zlagRpA4wR9RlL3j-kR3I,LIV Fitness Guaynabo,Gimnasios,Bienestar
ChIJ-6zlagRpA4wR9RlL3j-kR3I,LIV Fitness Guaynabo,Gimnasios,Fitness
ChIJ-WxqLQvTHIwRcmTnXmIY5XU,Ama Fitness PR,Gimnasios,Gimnasio General
ChIJ-WxqLQvTHIwRcmTnXmIY5XU,Ama Fitness PR,Gimnasios,Bienestar
ChIJ-WxqLQvTHIwRcmTnXmIY5XU,Ama Fitness PR,Gimnasios,Fitness
ChIJ9Z45pDZvA4wRsiOEMhmbNaA,HCOA Fitness,Gimnasios,Gimnasio General
ChIJ9Z45pDZvA4wRsiOEMhmbNaA,HCOA Fitness,Gimnasios,Bienestar
ChIJ9Z45pDZvA4wRsiOEMhmbNaA,HCOA Fitness,Gimnasios,Fitness
ChIJ89AkXwxpA4wRMVEMQJQcOkQ,Fort Buchanan Fitness Center,Gimnasios,Gimnasio General
ChIJ89AkXwxpA4wRMVEMQJQcOkQ,Fort Buchanan Fitness Center,Gimnasios,Bienestar
ChIJ89AkXwxpA4wRMVEMQJQcOkQ,Fort Buchanan Fitness Center,Gimnasios,Fitness
ChIJZRoyGQjVHIwRt-HUbn35veg,Renzo Gracie Ponce,Gimnasios,Bienestar
ChIJlUEYBOQfA4wRcd30AB6qDjk,House of Warriors Fitness,Gimnasios,Gimnasio General
ChIJlUEYBOQfA4wRcd30AB6qDjk,House of Warriors Fitness,Gimnasios,Bienestar
ChIJlUEYBOQfA4wRcd30AB6qDjk,House of Warriors Fitness,Gimnasios,Fitness
ChIJT5Dp_dszHYwRstQsZ4h2AME,Perfect Body & Health Fitness,Gimnasios,Gimnasio General
ChIJT5Dp_dszHYwRstQsZ4h2AME,Perfect Body & Health Fitness,Gimnasios,Bienestar
ChIJT5Dp_dszHYwRstQsZ4h2AME,Perfect Body & Health Fitness,Gimnasios,Fitness
ChIJYQZxrestHYwRgeiqDSR9fFI,Gimnasio Municipal,Gimnasios,Gimnasio General
ChIJYQZxrestHYwRgeiqDSR9fFI,Gimnasio Municipal,Gimnasios,Bienestar
ChIJV5wKfwDTHIwRQQ23Xp895o4,Urban Legend Fitness,Gimnasios,Gimnasio General
ChIJV5wKfwDTHIwRQQ23Xp895o4,Urban Legend Fitness,Gimnasios,Bienestar
ChIJV5wKfwDTHIwRQQ23Xp895o4,Urban Legend Fitness,Gimnasios,Fitness
ChIJCRE1KHfVHIwRjnosvYbSde0,"Maahes, Academia de Artes Marciales, LLC",Gimnasios,Bienestar
ChIJA52I_g29AowRgkIBYD2xNUk,Body Fitness Gym,Gimnasios,Gimnasio General
ChIJA52I_g29AowRgkIBYD2xNUk,Body Fitness Gym,Gimnasios,Bienestar
ChIJA52I_g29AowRgkIBYD2xNUk,Body Fitness Gym,Gimnasios,Fitness
ChIJww_AEX0rHYwR1OZfyvonI6Q,Xtravaganz Boutique Ponce,Boutiques,Ropa
ChIJww_AEX0rHYwR1OZfyvonI6Q,Xtravaganz Boutique Ponce,Boutiques,Tienda
ChIJww_AEX0rHYwR1OZfyvonI6Q,Xtravaganz Boutique Ponce,Boutiques,Moda
ChIJBS5fRIrVHIwRb7nwnihS8kg,Daring Boutique,Boutiques,Ropa
ChIJBS5fRIrVHIwRb7nwnihS8kg,Daring Boutique,Boutiques,Tienda
ChIJBS5fRIrVHIwRb7nwnihS8kg,Daring Boutique,Boutiques,Moda
ChIJiZMSZvUYA4wRtt6TrnC6BxE,Veronica's Boutique,Boutiques,Ropa
ChIJiZMSZvUYA4wRtt6TrnC6BxE,Veronica's Boutique,Boutiques,Tienda
ChIJiZMSZvUYA4wRtt6TrnC6BxE,Veronica's Boutique,Boutiques,Moda
ChIJcbf0zAsqHYwR1X35_YwxCUY,Marzela Boutique,Boutiques,Ropa
ChIJcbf0zAsqHYwR1X35_YwxCUY,Marzela Boutique,Boutiques,Tienda
ChIJcbf0zAsqHYwR1X35_YwxCUY,Marzela Boutique,Boutiques,Moda
ChIJzXfyLr5oA4wRk28-TdTDgWo,La Femme Boutique PR,Boutiques,Ropa
ChIJzXfyLr5oA4wRk28-TdTDgWo,La Femme Boutique PR,Boutiques,Tienda
ChIJzXfyLr5oA4wRk28-TdTDgWo,La Femme Boutique PR,Boutiques,Moda
ChIJXQUwbnvXHIwRGE4W2ZeKiZo,Closet Boutique Ponce,Boutiques,Ropa
ChIJXQUwbnvXHIwRGE4W2ZeKiZo,Closet Boutique Ponce,Boutiques,Tienda
ChIJXQUwbnvXHIwRGE4W2ZeKiZo,Closet Boutique Ponce,Boutiques,Moda
ChIJDT_xbU5pA4wR0N8qCsdhetE,Aurora Boutique,Boutiques,Ropa
ChIJDT_xbU5pA4wR0N8qCsdhetE,Aurora Boutique,Boutiques,Tienda
ChIJDT_xbU5pA4wR0N8qCsdhetE,Aurora Boutique,Boutiques,Moda
ChIJMzp-egDVHIwRHKLONewMbfA,Alpha Market Boutique,Boutiques,Ropa
ChIJMzp-egDVHIwRHKLONewMbfA,Alpha Market Boutique,Boutiques,Tienda
ChIJMzp-egDVHIwRHKLONewMbfA,Alpha Market Boutique,Boutiques,Moda
ChIJC-fUlojVHIwRLcpDMdQQjp0,Zoom Moda,Boutiques,Ropa
ChIJC-fUlojVHIwRLcpDMdQQjp0,Zoom Moda,Boutiques,Tienda
ChIJC-fUlojVHIwRLcpDMdQQjp0,Zoom Moda,Boutiques,Moda
ChIJoWzK0r9oA4wRkZiXzm0ESeE,Zil Boutique,Boutiques,Ropa
ChIJoWzK0r9oA4wRkZiXzm0ESeE,Zil Boutique,Boutiques,Tienda
ChIJoWzK0r9oA4wRkZiXzm0ESeE,Zil Boutique,Boutiques,Moda
ChIJE4_heb5oA4wRRVmYvf5SGYw,Silhouette Boutique,Boutiques,Ropa
ChIJE4_heb5oA4wRRVmYvf5SGYw,Silhouette Boutique,Boutiques,Tienda
ChIJE4_heb5oA4wRRVmYvf5SGYw,Silhouette Boutique,Boutiques,Moda
ChIJk0F8hyRZA4wRSXTy9vGphfw,Genesis Boutique,Boutiques,Ropa
ChIJk0F8hyRZA4wRSXTy9vGphfw,Genesis Boutique,Boutiques,Tienda
ChIJk0F8hyRZA4wRSXTy9vGphfw,Genesis Boutique,Boutiques,Moda
ChIJedLMhy8rHYwRO4Ns0gBeUKM,Mianteh Boutique,Boutiques,Ropa
ChIJedLMhy8rHYwRO4Ns0gBeUKM,Mianteh Boutique,Boutiques,Tienda
ChIJedLMhy8rHYwRO4Ns0gBeUKM,Mianteh Boutique,Boutiques,Moda
ChIJ3_oEfKxpA4wRno3rA5FmjeY,ONYX BOUTIQUE,Boutiques,Ropa
ChIJ3_oEfKxpA4wRno3rA5FmjeY,ONYX BOUTIQUE,Boutiques,Tienda
ChIJ3_oEfKxpA4wRno3rA5FmjeY,ONYX BOUTIQUE,Boutiques,Moda
ChIJa-4KTAVvA4wRrnp3y8bcRAM,Pink Tree,Boutiques,Ropa
ChIJa-4KTAVvA4wRrnp3y8bcRAM,Pink Tree,Boutiques,Tienda
ChIJV7CJqEyzAowRR72toXf0FGs,elenna Boutique,Boutiques,Ropa
ChIJV7CJqEyzAowRR72toXf0FGs,elenna Boutique,Boutiques,Tienda
ChIJV7CJqEyzAowRR72toXf0FGs,elenna Boutique,Boutiques,Moda
ChIJkxNn-8IzA4wRj2tbiZ-RXi8,Encanto Boutique,Boutiques,Ropa
ChIJkxNn-8IzA4wRj2tbiZ-RXi8,Encanto Boutique,Boutiques,Tienda
ChIJkxNn-8IzA4wRj2tbiZ-RXi8,Encanto Boutique,Boutiques,Moda
ChIJdbY95UJbA4wR2-CGjc0LT3U,Passo Boutique,Boutiques,Ropa
ChIJdbY95UJbA4wR2-CGjc0LT3U,Passo Boutique,Boutiques,Tienda
